Mei,Sombra,Symmetra,Torbjorn,Genji,Cassidy
Sombra,Bastion,Mei,Junkrat,Symmetra,Pharah,Echo,Cassidy
Ashe,Bastion,Cassidy,Hanzo,Widowmaker,Soldier76,Sojourn,Reaper
Mei,Echo,Pharah,Bastion,Reaper,Junkrat
Bastion,Ashe,Cassidy,Soldier76,Sojourn,Mei,Widowmaker,Tracer
Bastion,Cassidy,Junkrat,Pharah,Echo,Tracer,Torbjorn
Ashe,Bastion,Echo,Genji,Hanzo,Junkrat,Soldier76,Sojourn,Sombra
Echo,Genji,Mei,Reaper,Sombra,Symmetra,Tracer
Reaper,Bastion,Hanzo,Junkrat,Sojourn,Soldier76,Torbjorn
Junkrat,Mei,Echo,Pharah,Reaper,Symmetra
Bastion,Genji,Mei,Reaper,Tracer,Sombra
Genji,Cassidy,Hanzo,Mei,Reaper,Sojourn,Soldier76,Tracer,Widowmaker
Genji,Ashe,Hanzo,Junkrat,Mei,Soldier76,Sojourn,Tracer
Ashe,Genji,Junkrat,Soldier76,Sojourn,Sombra,Torbjorn,Widowmaker
Ashe,Bastion,Cassidy,Hanzo,Pharah,Soldier76,Sojourn,Torbjorn,Widowmaker
Mei,Echo,Reaper,Sombra,Symmetra,Tracer
Genji,Ashe,Widowmaker,Hanzo,Sombra,Tracer
Genji,Ashe,Bastion,Cassidy,Soldier76,Sojourn,Symmetra,Widowmaker,Hanzo
Bastion,Pharah,Echo,Junkrat,Symmetra,Widowmaker,Hanzo
Ashe,Bastion,Cassidy,Echo,Hanzo,Pharah,Sojourn,Soldier76,Symmetra,Torbjorn
Cassidy,Echo,Pharah,Hanzo,Junkrat,Mei,Tracer
Genji,Ashe,Bastion,Cassidy,Hanzo,Junkrat,Soldier76,Sojourn,Widowmaker
Ashe,Bastion,Cassidy,Genji,Junkrat,Sojourn,Soldier76,Tracer,Widowmaker
Ashe,Cassidy,Junkrat,Mei,Reaper,Sombra,Tracer,Symmetra,Torbjorn
Bastion,Cassidy,Ashe,Sojourn,Soldier76,Sombra,Symmetra,Widowmaker
Genji,Ashe,Cassidy,Hanzo,Junkrat,Mei,Soldier76,Sojourn,Widowmaker
Ashe,Cassidy,Echo,Pharah,Genji,Junkrat,Mei,Sombra,Tracer,Symmetra,Torbjorn
Widowmaker,Hanzo,Genji,Reaper,Tracer,Sombra,Sojourn
Genji,Ashe,Junkrat,Reaper,Sombra,Tracer,Widowmaker,Hanzo
Ashe,Cassidy,Genji,Junkrat,Mei,Sojourn,Soldier76,Symmetra,Widowmaker,Hanzo
Bastion,Echo,Pharah,Junkrat,Sombra,Symmetra,Torbjorn,Widowmaker,Soldier76,Sojourn
Cassidy,Echo,Pharah,Junkrat,Symmetra,Widowmaker,Sombra,Tracer
Bastion,Cassidy,Echo,Pharah,Mei,Sombra,Symmetra,Soldier76,Sojourn,Torbjorn
Genji,Ashe,Bastion,Cassidy,Junkrat,Tracer,Sombra,Widowmaker,Hanzo,Reaper,Pharah,Echo
Ashe,Bastion,Cassidy,Echo,Genji,reaper,Soldier76,Sojourn,Symmetra,Torbjorn,Tracer
Ashe,Bastion,Cassidy,Junkrat,Mei,Sombra,Symmetra,Torbjorn
Ashe,Cassidy,Genji,Hanzo,Widowmaker,Soldier76,Tracer,Sombra
