Brigitte,Doomfist,Moira,Reaper,Roadhog,Sigma,Symmetra,Winston,Zarya
Ana,Ashe,Brigitte,Cassidy,Mei,Pharah,Roadhog,Echo,Zenyatta,Bastion
Ana,Ashe,Baptiste,Kiriko,Cassidy,Soldier76,Widowmaker,Zenyatta,Mei,Sojourn
Ana,Ashe,Baptiste,DVA,Echo,Hanzo,Kiriko,Reaper,Sigma,Winston,Zenyatta
Ana,Bastion,DVA,Kiriko,Symmetra,Tracer,Sombra,Echo,Mei,Zarya,Sigma
Ana,Brigitte,Junkrat,Mei,Pharah,Bastion,Sombra,Tracer,Sojourn,Ramattra
Ana,Genji,Echo,Bastion,Brigitte,Widowmaker,Hanzo,Sombra,Sigma,Reinhardt,Zarya
Genji,Lucio,Moira,Sombra,Symmetra,Tracer,Zarya,Reaper,Ashe,Widowmaker,Zenyatta
Ana,Brigitte,Mei,Roadhog,Ramattra,Reaper,Bastion,Zarya,Pharah,Echo
Ana,Brigitte,Junkrat,Mei,Torbjorn,Roadhog,Orisa,Sombra,Pharah,Cassidy,Lucio
Ashe,Bastion,Echo,Pharah,Widowmaker,Sigma,Orisa,Sombra,Reaper,Genji

